,ID,Model 2: pIC50 (SIRT2),Probability of SIRT2 activity,Probability of Model 3 SIRT2/1 selectivity,Probability of Model 4 SIRT2/3 selectivity
40,ID_40,0.4924841,0.7733880773718663,0.08853716838738533,1.7524613e-06
41,ID_41,0.51878935,0.7729009208430311,0.06035425120481642,5.939011e-05
42,ID_43,0.4814113,0.7706977491487955,0.16108662825356593,0.012866885
43,ID_44,0.46418887,0.7697382338925106,0.31847779388250597,0.00036860074
44,ID_45,0.52461183,0.7691704697903087,0.39009671927423284,0.9997259
45,ID_47,0.5458773,0.7670953955919276,0.24133530430717878,0.14952499
46,ID_48,0.5042478,0.7652750457404383,0.15517171102161983,0.00014419104
47,ID_49,0.5215524,0.7649008626691857,0.26692184704354055,0.00692331
48,ID_50,0.48095578,0.7647131286143292,0.2094138366955134,0.99969053
49,ID_51,0.5009422,0.7644230222015983,0.12207497955265273,0.9955338
50,ID_52,0.46182078,0.7633142139995072,0.3596709901979528,0.9995229
51,ID_53,0.50670207,0.7627561311741605,0.08591594233959121,0.8398781
52,ID_54,0.5004357,0.7627143581546258,0.33794711134627564,0.99996984
53,ID_55,0.49985796,0.7601044797809737,0.20670556254452385,0.9999536
54,ID_56,0.52542883,0.759255881921744,0.11737850496003961,0.0005981556
55,ID_57,0.49228734,0.7585228910352817,0.2444031677168861,0.13667189
56,ID_58,0.4974402,0.7583324636001504,0.10062552978322932,0.008012829
57,ID_59,0.4672596,0.7579462548521981,0.12016729121919677,1.2352755e-06
58,ID_60,0.561741,0.7575357948222724,0.2085586289548272,1.2946455e-13
59,ID_61,0.49609447,0.7574068884437523,0.12113613940308458,0.027956255
60,ID_62,0.5081788,0.7569981059451403,0.09964260989352802,7.069065e-07
61,ID_63,0.50075686,0.7564568912411668,0.2551816232320652,0.0013078024
62,ID_64,0.4753662,0.7561914380943109,0.28892066484773565,0.9997259
63,ID_65,0.45836663,0.7532145212275642,0.170934445731593,0.97947115
64,ID_66,0.49849916,0.7527048063551651,0.07347876249773591,0.09845973
65,ID_67,0.51209736,0.7526436317926198,0.1267161381082576,0.99986684
66,ID_68,0.52394,0.7524821662198485,0.1316599483370387,0.97743976
67,ID_69,0.5065962,0.7521533655310602,0.47744995115155153,0.99815124
68,ID_70,0.49793807,0.7519126637127745,0.21407946642284584,0.00042291757
69,ID_71,0.49756885,0.7517884452595518,0.11518744639520219,0.06291249
70,ID_72,0.472814,0.7513050305677714,0.12040853652536926,0.9423706
71,ID_73,0.48199886,0.7512108333673148,0.043825961969635834,0.021038106
72,ID_75,0.5623809,0.7509497818807388,0.49267647963988515,1.0
73,ID_76,0.50650525,0.7507577015957048,0.06257018443512272,0.8574288
74,ID_77,0.49153194,0.7502115687888706,0.09736833572938519,0.039688367
75,ID_79,0.49765572,0.7486952443764661,0.4737073842045285,0.35902667
