,ID,SMILES,Model 1: SIRT2 inhibitory activity,Model 2: pIC50 (SIRT2),Model 3: SIRT1/2 selectivity,Model 4: SIRT2/3 selectivity,"Probability of Model 1 ""Yes"" class prediction",Probability of Model 3 SIRT1/2 nonselective prediction,Probability of Model 3 SIRT2/1 selectivity,Probability of Model 3 SIRT1/2 inactivity,Probability of Model 4 SIRT2/3 nonselective prediction,Probability of Model 4 SIRT2/3 selectivity,Probability of SIRT2/3 inactivity
13,ID_13,N#Cc1ccccc1-c1ccc(C=C2C(=O)NC(=S)NC2=O)o1,Yes,5.172582,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8726048335426357,0.7861969027530007,0.091106171016482,0.12269692623051755,0.00017864839,0.9998204,9.496054e-07
14,ID_14,C#CCOc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1OC,Yes,5.0835495,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8700508685666188,0.7876219722998629,0.09763470437883405,0.11474332332130334,0.99999964,9.6276594e-08,2.0103691e-07
15,ID_15,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OC(F)F,Yes,4.9175925,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8699604519103928,0.8249306243055268,0.08674696053280276,0.08832241516167094,0.99160415,0.0061287433,0.002267123
16,ID_16,Cc1cc(C=C2C(=O)NC(=S)NC2=O)c(C)n1-c1ccc(OCc2ccc(Br)cc2)cc1,Yes,5.233931,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8698050395961769,0.723537590419375,0.16573783939494116,0.11072457018568432,0.986022,0.011160829,0.002817136
17,ID_17,Cc1ccc([N+](=O)[O-])cc1-c1ccc(C=C2C(=O)NC(=S)NC2=O)o1,Yes,5.111413,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8684349743066413,0.7359996878798128,0.08574608311911351,0.17825422900107385,0.10367156,0.89610124,0.00022717469
18,ID_18,CCOc1cc(C=C2C(=O)NC(=S)NC2=O)cc(Br)c1O,Yes,4.949273,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8647348435120217,0.7970014913010015,0.0681362022337255,0.1348623064652735,0.016560735,0.98281693,0.0006223192
19,ID_19,CCOc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1Cl,Yes,4.8773403,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8640410662774047,0.7647955174645001,0.10847794145205172,0.1267265410834488,0.04529702,0.9542873,0.0004156249
20,ID_20,COc1cc(C=C2C(=O)NC(=S)NC2=O)cc(Cl)c1OCc1ccc(F)cc1,Yes,5.0566535,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8639460554607685,0.7452762259104061,0.13430777467521657,0.12041599941437768,0.99968827,0.00030882613,3.0209683e-06
21,ID_21,CC(C)COC(=O)c1ccc(-c2ccc(C=C3C(=O)NC(=S)NC3=O)o2)cc1,Yes,5.0832314,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8629957062700553,0.6684518703869,0.10937863555324778,0.2221694940598525,0.06586599,0.9332818,0.00085216603
22,ID_22,O=C1NC(=S)N/C1=C/c1ccc(OCc2cccc(C(=O)O)c2)cc1,Yes,4.968784,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8614250042539328,0.5786246413699594,0.28002978769874204,0.1413455709312981,0.9953289,3.6312078e-06,0.0046674176
23,ID_23,COc1cc(C=C2C(=O)NC(=S)NC2=O)cc(Cl)c1O,Yes,4.848959,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8609458310974089,0.8282062101301487,0.055708381801172616,0.1160854080686788,0.99996173,2.4843226e-05,1.3508871e-05
24,ID_24,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCC(=O)N2CCCC2)cc1,Yes,5.034587,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8603926971683733,0.7380617785389485,0.10649638367898473,0.15544183778206758,0.96673,0.030761298,0.0025087371
25,ID_25,CCOc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OC(C)=O,Yes,4.9298277,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8595751886727575,0.7232302240468584,0.13207720355607006,0.144692572397072,0.90640426,0.092920825,0.0006749131
26,ID_26,Cc1cc(C(=O)OC(C)C)ccc1-c1ccc(C=C2C(=O)NC(=S)NC2=O)o1,Yes,5.1050477,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8567050598642185,0.6933912795322184,0.11702510360264726,0.18958361686513459,0.79597396,0.20299198,0.0010340934
27,ID_27,O=C1NC(=S)NC(=O)C1=Cc1cc(Br)ccc1OCc1ccc(C(=O)O)cc1,Yes,5.2708497,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8566401026324818,0.7043272915053126,0.13103545887294127,0.1646372496217465,0.12561065,0.8635096,0.010879783
28,ID_28,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCc1ccccc1[N+](=O)[O-],Yes,4.9618864,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8557286831638113,0.7779314393220985,0.0967377537986965,0.12533080687920556,0.9663848,0.033425216,0.00018999986
29,ID_29,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCCC(C)C,Yes,5.1974206,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8534339013671515,0.7208127416975294,0.16183435406625993,0.11735290423621135,0.97537917,0.023746654,0.0008741679
30,ID_30,O=C1NC(=S)NC(=O)C1=Cc1cc(Br)ccc1OCc1ccc(Cl)cc1,Yes,5.335127,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8532847144536336,0.7193069553282838,0.16059838298347867,0.12009466168823776,0.010516897,0.9887939,0.0006892336
31,ID_31,COc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1OC(=O)c1ccc(C)cc1,Yes,5.013956,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8520307759575511,0.710674205100614,0.09289978307558901,0.19642601182379757,0.86524713,0.13456272,0.00019018605
32,ID_32,O=C1NC(=S)NC(=O)C1=Cc1ccc(Sc2ccc(Cl)cc2)o1,Yes,5.491255,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.850651385406721,0.6373774509562171,0.2033122347405798,0.15931031430320297,0.0028798357,0.99711955,5.5638645e-07
33,ID_33,CCOc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OC(=O)c1ccc(C)cc1,Yes,4.8287363,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8444582274477082,0.6961694853107636,0.11300318584805857,0.1908273288411782,0.039480682,0.96027213,0.0002471069
34,ID_34,CN(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,Yes,5.015078,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8440690557205831,0.7364584307212231,0.06496166360116584,0.19857990567761147,0.9588723,0.028938789,0.012188949
35,ID_35,Cc1cc(C)nc(SCc2nnc(SCC(=O)Nc3cccc(Cl)c3)n2C)n1,Yes,5.7034225,Predicted to be inactive on both SIRT1/SIRT2,Selective for SIRT2 over SIRT3,0.7680281750637524,0.245350021550447,0.3105287804758483,0.44412119797370475,0.0053498847,0.98270965,0.011940407
36,ID_36,Cc1cc(C)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)n1,Yes,5.3850384,Predicted to be inactive on both SIRT1/SIRT2,Predicted to be inactive on both SIRT2/SIRT3,0.7739406231097705,0.05734446462142157,0.3100942798436878,0.632561255534891,5.2974734e-05,5.664669e-05,0.9998903
37,ID_37,COc1cc(/C=C2\NC(=S)NC2=O)c(Cl)cc1O,Yes,5.1215196,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7739176918044791,0.7302463533701675,0.09158341260118999,0.17817023402864243,0.99691534,0.00027448643,0.002810071
38,ID_38,C=CCN1C(=O)/C(=C/c2ccc(OCc3ccc([N+](=O)[O-])cc3)c(OCC)c2)SC1=S,Yes,4.784344,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7738347355633025,0.583763609163371,0.20672512202678436,0.20951126880984436,8.103384e-05,0.9997969,0.00012200986
39,ID_39,C=CCN1C(=O)/C(=C\c2ccc(OCc3ccccc3)c(OC)c2)SC1=S,Yes,4.8513775,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7737075049890865,0.5850103848361546,0.23892512000398547,0.17606449515985959,0.0053570806,0.98702544,0.007617477
40,ID_40,COc1ccc(/C=C2/NC(=S)NC2=O)cc1,Yes,4.924841,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7733880773718663,0.7402576105428391,0.08853716838738533,0.17120522106977615,0.9617462,1.7524613e-06,0.038252037
41,ID_41,O=C1NC(=S)N/C1=C/c1cc(Br)cc(Br)c1O,Yes,5.1878934,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7729009208430311,0.7413933718496906,0.06035425120481642,0.1982523769454934,0.99993277,5.939011e-05,7.909646e-06
42,ID_43,CCN(CC)c1ccc(C=C2C(=O)NC(=S)NC2=O)c(OC(C)C)c1,Yes,4.814113,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7706977491487955,0.6918671844326539,0.16108662825356593,0.14704618731378066,0.96176815,0.012866885,0.025365
43,ID_44,Cc1cccc(COc2ccc(/C=C3\NC(=S)N(C)C3=O)cc2)c1,Yes,4.6418886,SIRT1/2 nonselective,Predicted to be inactive on both SIRT2/SIRT3,0.7697382338925106,0.45719188639049646,0.31847779388250597,0.2243303197269973,0.26753873,0.00036860074,0.7320927
44,ID_45,O=C1/C(=C\c2ccc(OCc3ccc(Cl)cc3Cl)cc2)SC(=S)N1Cc1ccccc1,Yes,5.246118,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7691704697903087,0.42855224329292363,0.39009671927423284,0.18135103743284298,0.0002738874,0.9997259,1.9063275e-07
45,ID_47,O=C1NC(=S)N/C1=C/c1ccc(Sc2ccc(Cl)cc2)o1,Yes,5.4587727,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7670953955919276,0.5709109224085122,0.24133530430717878,0.18775377328430906,0.84654003,0.14952499,0.0039350013
46,ID_48,CCOC(=O)COc1ccc(Br)cc1/C=C1/NC(=S)NC1=O,Yes,5.042478,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7652750457404383,0.6417534980844817,0.15517171102161983,0.20307479089389827,0.62348956,0.00014419104,0.37636623
47,ID_49,COc1ccc(OCCn2c(C)c(C=C3C(=O)NC(=S)NC3=O)c3ccccc32)cc1,Yes,5.2155237,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7649008626691857,0.605812660541989,0.26692184704354055,0.12726549241447038,0.97972715,0.00692331,0.013349554
48,ID_50,CCOC(=O)C1=CN(c2cccc(F)c2)C=C(C(=O)OCC)C1c1ccccc1,Yes,4.809558,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7647131286143292,0.4632311770998063,0.2094138366955134,0.32735498620467973,2.8220309e-06,0.99969053,0.0003066527
49,ID_51,N#CCOc1ccccc1C=C1C(=O)NC(=S)NC1=O,Yes,5.009422,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7644230222015983,0.7234734837881756,0.12207497955265273,0.15445153665917208,0.0019457812,0.9955338,0.002520333
50,ID_52,O=C1N/C(=C/c2ccc(OCc3ccc(F)cc3)cc2)C(=O)N1Cc1ccccc1,Yes,4.618208,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7633142139995072,0.39937524508317884,0.3596709901979528,0.24095376471886826,0.00039681394,0.9995229,8.025174e-05
51,ID_53,C=CCN1C(=O)/C(=C/c2ccc(-c3cccc(C(F)(F)F)c3)o2)C(=O)NC1=S,Yes,5.067021,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7627561311741605,0.7619169496592215,0.08591594233959121,0.1521671080011872,8.0384525e-05,0.8398781,0.16004154
52,ID_54,CCOc1cc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)ccc1OCc1ccc(Cl)cc1,Yes,5.004357,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7627143581546258,0.4941104622364897,0.33794711134627564,0.1679424264172341,2.668228e-05,0.99996984,3.484367e-06
53,ID_55,CN1C(=O)C(=Cc2ccc(OCc3ccc(F)cc3)c(Br)c2)C(=O)N(C)C1=S,Yes,4.9985795,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7601044797809737,0.5702939499945352,0.20670556254452385,0.22300048746094095,5.5353576e-06,0.9999536,4.089346e-05
54,ID_56,O=C1NC(=S)NC(=O)C1=Cc1cc([N+](=O)[O-])ccc1N1CCOCC1,Yes,5.254288,SIRT1/2 nonselective,SIRT2/3 nonselective,0.759255881921744,0.7099323366917569,0.11737850496003961,0.1726891583482037,0.99473226,0.0005981556,0.0046695983
55,ID_57,C=CCN1C(=O)/C(=C\c2ccc(OCc3ccc(Cl)cc3)c(OC)c2)SC1=S,Yes,4.9228735,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7585228910352817,0.6029480882861838,0.2444031677168861,0.15264874399692988,0.86185694,0.13667189,0.0014711807
56,ID_58,CCn1c2ccccc2c2cc(C=C3C(=O)NC(=S)NC3=O)ccc21,Yes,4.974402,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7583324636001504,0.8022736865644705,0.10062552978322932,0.09710078365230021,0.8449001,0.008012829,0.14708704
57,ID_59,Cc1cc(C)c2c(=O)c(/C=C3\NC(=S)NC3=O)coc2c1,Yes,4.672596,SIRT1/2 nonselective,Predicted to be inactive on both SIRT2/SIRT3,0.7579462548521981,0.7097879497839833,0.12016729121919677,0.17004475899682056,6.644888e-05,1.2352755e-06,0.9999323
58,ID_60,NC(=O)c1cncc(O)c1,Yes,5.6174097,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7575357948222724,0.5548027346311071,0.2085586289548272,0.2366386364140653,1.0,1.2946455e-13,2.7647792e-10
59,ID_61,CCOc1cc(/C=C2\NC(=S)NC2=O)cc(Br)c1OC,Yes,4.9609447,SIRT1/2 nonselective,Predicted to be inactive on both SIRT2/SIRT3,0.7574068884437523,0.7091962530908766,0.12113613940308458,0.16966760750603946,0.28374627,0.027956255,0.68829745
60,ID_62,CN1CCN(c2ccc([N+](=O)[O-])cc2C=C2C(=O)NC(=S)NC2=O)CC1,Yes,5.0817876,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7569981059451403,0.7231824545683149,0.09964260989352802,0.1771749355381575,0.99995553,7.069065e-07,4.3690234e-05
61,ID_63,CC(C)(C)c1ccc(OCCn2cc(C=C3C(=O)NC(=S)NC3=O)c3ccccc32)cc1,Yes,5.0075684,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7564568912411668,0.6247508789696505,0.2551816232320652,0.12006749779828414,0.9944043,0.0013078024,0.004287859
62,ID_64,O=C1/C(=C/c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2)SC(=S)N1c1ccccc1,Yes,4.753662,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7561914380943109,0.4514999722303631,0.28892066484773565,0.2595793629219013,0.0002721489,0.9997259,1.8764889e-06
63,ID_65,CCOC(=O)C1=CN(c2ccc(Br)cc2)C=C(C(=O)OCC)C1c1ccccc1,Yes,4.5836663,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7532145212275642,0.5051669067587183,0.170934445731593,0.3238986475096882,1.8284884e-06,0.97947115,0.020527048
64,ID_66,Cc1cc(C=C2C(=O)NC(=S)NC2=O)c(C)n1-c1ccncc1,Yes,4.9849916,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7527048063551651,0.8000603541282912,0.07347876249773591,0.12646088337397302,0.4684909,0.09845973,0.43304932
65,ID_67,COc1cc(/C=C2/NC(=S)NC2=O)cc(Br)c1OC(=O)C12CC3CC(CC(C3)C1)C2,Yes,5.1209736,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7526436317926198,0.6740297431978589,0.1267161381082576,0.19925411869388404,0.00013201263,0.99986684,1.0717871e-06
66,ID_68,O=C1NC(=S)N/C1=C/c1cc([N+](=O)[O-])ccc1Cl,Yes,5.2394004,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7524821662198485,0.67345239168003,0.1316599483370387,0.1948876599829314,0.022431336,0.97743976,0.00012881942
67,ID_69,CCCC(=O)Nc1ccc(Cl)c(NC(=S)NC(=O)c2ccc(OCc3ccccc3)cc2)c1,Yes,5.065962,Selective for SIRT2 over SIRT1,Selective for SIRT2 over SIRT3,0.7521533655310602,0.2937597816673417,0.47744995115155153,0.2287902671811071,0.0006609294,0.99815124,0.0011877005
68,ID_70,COc1cc(C=C2SC(=S)NC2=O)ccc1OCc1ccc(F)cc1,Yes,4.9793806,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7519126637127745,0.5614658805230975,0.21407946642284584,0.2244546530540566,0.9993656,0.00042291757,0.00021140392
69,ID_71,COc1cc(/C=C2/NC(=S)NC2=O)cc(Br)c1OCc1ccccn1,Yes,4.9756885,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7517884452595518,0.6843632531041957,0.11518744639520219,0.20044930050060217,0.885842,0.06291249,0.05124547
70,ID_72,C=CCN1C(=O)/C(=C\c2cc(Br)c(O)c(OCC)c2)SC1=S,Yes,4.72814,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7513050305677714,0.6708078384310269,0.12040853652536926,0.2087836250436041,0.00037282959,0.9423706,0.057256546
71,ID_73,Cc1cc(C=C2C(=O)NC(=S)NC2=O)c(C)n1-c1ccc(I)cc1,Yes,4.8199887,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7512108333673148,0.8685998133204846,0.043825961969635834,0.08757422470987938,0.9380096,0.021038106,0.040952224
72,ID_75,COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OCCOc2ccccc2)C3c2ccccc2OCc2ccccc2)cc1OC,Yes,5.623809,Selective for SIRT2 over SIRT1,Selective for SIRT2 over SIRT3,0.7509497818807388,0.28506142697972614,0.49267647963988515,0.2222620933803895,1.0507148e-08,1.0,7.0074467e-12
73,ID_76,Cc1cc(-n2c(C)cc(C=C3C(=O)NC(=S)NC3=O)c2C)ccc1Br,Yes,5.0650525,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.7507577015957048,0.8361723648855653,0.06257018443512272,0.10125745067931227,0.004941972,0.8574288,0.13762923
74,ID_77,Cc1cc(C=C2C(=O)NC(=S)NC2=O)c(C)n1-c1ccc(Cl)cc1,Yes,4.9153194,SIRT1/2 nonselective,SIRT2/3 nonselective,0.7502115687888706,0.800350616560425,0.09736833572938519,0.10228104771018973,0.73921484,0.039688367,0.22109683
75,ID_79,COc1cc(NC(=S)NC(=O)c2ccc(OCc3ccccc3)cc2)ccc1NC(=O)C(C)C,Yes,4.9765573,Selective for SIRT2 over SIRT1,SIRT2/3 nonselective,0.7486952443764661,0.2520447579169347,0.4737073842045285,0.2742478578785369,0.6402373,0.35902667,0.0007361145
